"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"","Вернуться в игру","Back to the game","","False","Continue""","",""
"","","","","FALSE","MainMenuEmpty0","",""
"","Сохранить и выйти","Save and exit","","False","MainMenu","",""
"","Настройки","Settings","","False","Settings","",""
"","","","","FALSE","MainMenuEmpty1","",""
"","Сохранить и выйти","Save and exit","","False","MainMenuTwo","",""
"","","","","FALSE","MainMenuEmpty2","",""
"","Сохранить и выйти","Save and exit","","False","MainMenuThree","",""
"","Это текст 8","This is  text 8","","False","context_for_row_8","",""
"","Это текст 9","This is  text 9","","False","context_for_row_9","",""
"","Это текст 10","This is  text 10","","False","context_for_row_10","",""
"","Это текст 11","This is text 11","","False","context_for_row_11","",""
"","Это текст 12","This is  text 12","","False","context_for_row_12","",""
"","Это текст 13","This is  text 13","","False","context_for_row_13","",""
"","Это текст 14","This is text 14","","False","context_for_row_14","",""
"","Это текст 15","This is text 15","","False","context_for_row_15","",""
"","Это текст 16","This is text 16","","False","context_for_row_16","",""
"","Это текст 17","This is text 17","","False","context_for_row_17","",""
"","Это текст 18","This is text 18","","False","context_for_row_18","",""
"","Это текст 19","This is text 19","","False","context_for_row_19","",""
"","Это текст 20","This is  text 20","","False","context_for_row_20","",""
"","Это текст 21","This is text 21","","False","context_for_row_21","",""
"","Это текст 22","This is text 22","","False","context_for_row_22","",""
"","Это текст 23","This is text 23","","False","context_for_row_23","",""
"","Это текст 24","This is text 24","","False","context_for_row_24","",""
"","Это текст 25","This is text 25","","False","context_for_row_25","",""
"","Это текст 26","This is text 26","","False","context_for_row_26","",""
"","Это текст 27","This is text 27","","False","context_for_row_27","",""
"","Это текст 28","This is text 28","","False","context_for_row_28","",""
"","Это текст 29","This is text 29","","False","context_for_row_29","",""
"","Это текст 30","This is  text 30","","False","context_for_row_30","",""
"","Это текст 31","This is text 31","","False","context_for_row_31","",""
"","Это текст 32","This is text 32","","False","context_for_row_32","",""
"","Это текст 33","This is text 33","","False","context_for_row_33","",""
"","Это текст 34","This is text 34","","False","context_for_row_34","",""
"","Это текст 35","This is text 35","","False","context_for_row_35","",""
"","Это текст 36","This is text 36","","False","context_for_row_36","",""
"","Это текст 37","This is text 37","","False","context_for_row_37","",""
"","Это текст 38","This is text 38","","False","context_for_row_38","",""
"","Это текст 39","This is text 39","","False","context_for_row_39","",""
"","Это текст 40","This is  text 40","","False","context_for_row_40","",""
"","Это текст 41","This is text 41","","False","context_for_row_41","",""
"","Это текст 42","This is text 42","","False","context_for_row_42","",""
"","Это текст 43","This is text 43","","False","context_for_row_43","",""
"","Это текст 44","This is text 44","","False","context_for_row_44","",""
"","Это текст 45","This is text 45","","False","context_for_row_45","",""
"","Это текст 46","This is text 46","","False","context_for_row_46","",""
"","Это текст 47","This is text 47","","False","context_for_row_47","",""
"","Это текст 48","This is text 48","","False","context_for_row_48","",""
"","Это текст 49","This is text 49","","False","context_for_row_49","",""
"","Это текст 50","This is  text 50","","False","context_for_row_50","",""
"","Это текст 51","This is text 51","","False","context_for_row_51","",""
"","Это текст 52","This is text 52","","False","context_for_row_52","",""
"","Это текст 53","This is text 53","","False","context_for_row_53","",""
"","Это текст 54","This is text 54","","False","context_for_row_54","",""
"","Это текст 55","This is text 55","","False","context_for_row_55","",""
"","Это текст 56","This is text 56","","False","context_for_row_56","",""
"","Это текст 57","This is text 57","","False","context_for_row_57","",""
"","Это текст 58","This is text 58","","False","context_for_row_58","",""
"","Это текст 59","This is text 59","","False","context_for_row_59","",""
"","Это текст 60","This is  text 60","","False","context_for_row_60","",""
"","Это текст 61","This is text 61","","False","context_for_row_61","",""
"","Это текст 62","This is text 62","","False","context_for_row_62","",""
"","Это текст 63","This is text 63","","False","context_for_row_63","",""
"","Это текст 64","This is text 64","","False","context_for_row_64","",""
"","Это текст 65","This is text 65","","False","context_for_row_65","",""
"","Это текст 66","This is text 66","","False","context_for_row_66","",""
"","Это текст 67","This is text 67","","False","context_for_row_67","",""
"","Это текст 68","This is text 68","","False","context_for_row_68","",""
"","Это текст 69","This is text 69","","False","context_for_row_69","",""
"","Это текст 70","This is  text 70","","False","context_for_row_70","",""
"","Это текст 71","This is text 71","","False","context_for_row_71","",""
"","Это текст 72","This is text 72","","False","context_for_row_72","",""
"","Это текст 73","This is text 73","","False","context_for_row_73","",""
"","Это текст 74","This is text 74","","False","context_for_row_74","",""
"","Это текст 75","This is  text 75","","False","context_for_row_75","",""
"","Это текст 76","This is text 76","","False","context_for_row_76","",""
"","Это текст 77","This is text 77","","False","context_for_row_77","",""
"","Это текст 78","This is text 78","","False","context_for_row_78","",""
"","Это текст 79","This is text 79","","False","context_for_row_79","",""
"","Это текст 80","This is  text 80","","False","context_for_row_80","",""
"","Это текст 81","This is text 81","","False","context_for_row_81","",""
"","Это текст 82","This is text 82","","False","context_for_row_82","",""
"","Это текст 83","This is text 83","","False","context_for_row_83","",""
"","Это текст 84","This is text 84","","False","context_for_row_84","",""
"","Это текст 85","This is text 85","","False","context_for_row_85","",""
"","Это текст 86","This is text 86","","False","context_for_row_86","",""
"","Это текст 87","This is text 87","","False","context_for_row_87","",""
"","Это текст 88","This is text 88","","False","context_for_row_88","",""
"","Это текст 89","This is text 89","","False","context_for_row_89","",""
"","Это текст 90","This is text 90","","False","context_for_row_90","",""
"","Это текст 91","This is text 91","","False","context_for_row_91","",""
"","Это текст 92","This is text 92","","False","context_for_row_92","",""
"","Это текст 93","This is text 93","","False","context_for_row_93","",""
"","Это текст 94","This is  text 94","","False","context_for_row_94","",""
"","Это текст 95","This is  text 95","","False","context_for_row_95","",""
"","Это текст 96","This is  text 96","","False","context_for_row_96","",""
"","Это текст 97","This is  text 97","","False","context_for_row_97","",""
"","Это текст 98","This is  text 98","","False","context_for_row_98","",""
"","Это текст 99","This is  text 99","","False","context_for_row_99","",""
"","Это текст 100","This is  text 100","","False","context_for_row_100","",""
"","Это текст 101","This is text 101","","False","context_for_row_101","",""
"","Это текст 102","This is text 102","","False","context_for_row_102","",""
"","Это текст 103","This is text 103","","False","context_for_row_103","",""
"","Это текст 104","This is text 104","","False","context_for_row_104","",""
"","Это текст 105","This is text 105","","False","context_for_row_105","",""
"","Это текст 106","This is text 106","","False","context_for_row_106","",""
"","Это текст 107","This is  text 107","","False","context_for_row_107","",""
"","Это текст 108","This is text 108","","False","context_for_row_108","",""
"","Это текст 109","This is text 109","","False","context_for_row_109","",""
"","Это текст 110","This is text 110","","False","context_for_row_110","",""
"","Это текст 111","This is text 111","","False","context_for_row_111","",""
"","Это текст 112","This is text 112","","False","context_for_row_112","",""
"","Это текст 113","This is text 113","","False","context_for_row_113","",""
"","Это текст 114","This is text 114","","False","context_for_row_114","",""
"","Это текст 115","This is text 115","","False","context_for_row_115","",""
"","Это текст 116","This is text 116","","False","context_for_row_116","",""
"","Это текст 117","This is text 117","","False","context_for_row_117","",""
"","Это текст 118","This is text 118","","False","context_for_row_118","",""
"","Это текст 119","This is text 119","","False","context_for_row_119","",""
"","Это текст 120","This is text 120","","False","context_for_row_120","",""
"","Это текст 121","This is text 121","","False","context_for_row_121","",""
"","Это текст 122","This is text 122","","False","context_for_row_122","",""
"","Это текст 123","This is text 123","","False","context_for_row_123","",""
"","Это текст 124","This is text 124","","False","context_for_row_124","",""
"","Это текст 125","This is text 125","","False","context_for_row_125","",""
"","Это текст 126","This is text 126","","False","context_for_row_126","",""
"","Это текст 127","This is text 127","","False","context_for_row_127","",""
"","Это текст 128","This is text 128","","False","context_for_row_128","",""
"","Это текст 129","This is text 129","","False","context_for_row_129","",""
"","Это текст 130","This is text 130","","False","context_for_row_130","",""
"","Это текст 131","This is text 131","","False","context_for_row_131","",""
"","Это текст 132","This is text 132","","False","context_for_row_132","",""
"","Это текст 133","This is text 133","","False","context_for_row_133","",""
"","Это текст 134","This is text 134","","False","context_for_row_134","",""
"","Это текст 135","This is text 135","","False","context_for_row_135","",""
"","Это текст 136","This is text 136","","False","context_for_row_136","",""
"","Это текст 137","This is text 137","","False","context_for_row_137","",""
"","Это текст 138","This is text 138","","False","context_for_row_138","",""
"","Это текст 139","This is text 139","","False","context_for_row_139","",""
"","Это текст 140","This is text 140","","False","context_for_row_140","",""
"","Это текст 141","This is text 141","","False","context_for_row_141","",""
"","Это текст 142","This is text 142","","False","context_for_row_142","",""
"","Это текст 143","This is text 143","","False","context_for_row_143","",""
"","Это текст 144","This is text 144","","False","context_for_row_144","",""
"","Это текст 145","This is text 145","","False","context_for_row_145","",""
"","Это текст 146","This is text 146","","False","context_for_row_146","",""
"","Это текст 147","This is text 147","","False","context_for_row_147","",""
"","Это текст 148","This is text 148","","False","context_for_row_148","",""
"","Это текст 149","This is text 149","","False","context_for_row_149","",""
"","Это текст 150","This is text 150","","False","context_for_row_150","",""
"","Это текст 151","This is text 151","","False","context_for_row_151","",""
"","Это текст 152","This is text 152","","False","context_for_row_152","",""
"","Это текст 153","This is text 153","","False","context_for_row_153","",""
"","Это текст 154","This is text 154","","False","context_for_row_154","",""
"","Это текст 155","This is text 155","","False","context_for_row_155","",""
"","Это текст 156","This is text 156","","False","context_for_row_156","",""
"","Это текст 157","This is text 157","","False","context_for_row_157","",""
"","Это текст 158","This is text 158","","False","context_for_row_158","",""
"","Это текст 159","This is text 159","","False","context_for_row_159","",""
"","Это текст 160","This is text 160","","False","context_for_row_160","",""
"","Это текст 161","This is text 161","","False","context_for_row_161","",""
"","Это текст 162","This is text 162","","False","context_for_row_162","",""
"","Это текст 163","This is text 163","","False","context_for_row_163","",""
"","Это текст 164","This is text 164","","False","context_for_row_164","",""
"","Это текст 165","This is text 165","","False","context_for_row_165","",""
"","Это текст 166","This is text 166","","False","context_for_row_166","",""
"","Это текст 167","This is text 167","","False","context_for_row_167","",""
"","Это текст 168","This is text 168","","False","context_for_row_168","",""
"","Это текст 169","This is text 169","","False","context_for_row_169","",""
"","Это текст 170","This is text 170","","False","context_for_row_170","",""
"","Это текст 171","This is text 171","","False","context_for_row_171","",""
"","Это текст 172","This is text 172","","False","context_for_row_172","",""
"","Это текст 173","This is text 173","","False","context_for_row_173","",""
"","Это текст 174","This is text 174","","False","context_for_row_174","",""
"","Это текст 175","This is text 175","","False","context_for_row_175","",""
"","Это текст 176","This is text 176","","False","context_for_row_176","",""
"","Это текст 177","This is text 177","","False","context_for_row_177","",""
"","Это текст 178","This is text 178","","False","context_for_row_178","",""
"","Это текст 179","This is text 179","","False","context_for_row_179","",""
"","Это текст 180","This is  text 180","","False","context_for_row_180","",""
"","Это текст 181","This is text 181","","False","context_for_row_181","",""
"","Это текст 182","This is text 182","","False","context_for_row_182","",""
"","Это текст 183","This is text 183","","False","context_for_row_183","",""
"","Это текст 184","This is text 184","","False","context_for_row_184","",""
"","Это текст 185","This is text 185","","False","context_for_row_185","",""
"","Это текст 186","This is text 186","","False","context_for_row_186","",""
"","Это текст 187","This is text 187","","False","context_for_row_187","",""
"","Это текст 188","This is text 188","","False","context_for_row_188","",""
"","Это текст 189","This is text 189","","False","context_for_row_189","",""
"","Это текст 190","This is text 190","","False","context_for_row_190","",""
"","Это текст 191","This is text 191","","False","context_for_row_191","",""
"","Это текст 192","This is text 192","","False","context_for_row_192","",""
"","Это текст 193","This is text 193","","False","context_for_row_193","",""
"","Это текст 194","This is text 194","","False","context_for_row_194","",""
"","Это текст 195","This is text 195","","False","context_for_row_195","",""
"","Это текст 196","This is text 196","","False","context_for_row_196","",""
"","Это текст 197","This is text 197","","False","context_for_row_197","",""
"","Это текст 198","This is text 198","","False","context_for_row_198","",""
"","Это текст 199","This is text 199","","False","context_for_row_199","",""
"","Это текст 200","This is  text 200","","False","context_for_row_200","",""
"","Это текст 201","This is text 201","","False","context_for_row_201","",""
"","Это текст 202","This is text 202","","False","context_for_row_202","",""
"","Это текст 203","This is text 203","","False","context_for_row_203","",""
"","Это текст 204","This is text 204","","False","context_for_row_204","",""
"","Это текст 205","This is text 205","","False","context_for_row_205","",""
"","Это текст 206","This is text 206","","False","context_for_row_206","",""
"","Это текст 207","This is text 207","","False","context_for_row_207","",""
"","Это текст 208","This is text 208","","False","context_for_row_208","",""
"","Это текст 209","This is text 209","","False","context_for_row_209","",""
"","Это текст 210","This is text 210","","False","context_for_row_210","",""
"","Это текст 211","This is text 211","","False","context_for_row_211","",""
"","Это текст 212","This is text 212","","False","context_for_row_212","",""
"","Это текст 213","This is text 213","","False","context_for_row_213","",""
"","Это текст 214","This is text 214","","False","context_for_row_214","",""
"","Это текст 215","This is text 215","","False","context_for_row_215","",""
"","Это текст 216","This is text 216","","False","context_for_row_216","",""
"","Это текст 217","This is text 217","","False","context_for_row_217","",""
"","Это текст 218","This is text 218","","False","context_for_row_218","",""
"","Это текст 219","This is text 219","","False","context_for_row_219","",""
"","Это текст 220","This is text 220","","False","context_for_row_220","",""
"","Это текст 221","This is text 221","","False","context_for_row_221","",""
"","Это текст 222","This is text 222","","False","context_for_row_222","",""
"","Это текст 223","This is text 223","","False","context_for_row_223","",""
