location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,Это текст 1,Это текст 1,,FALSE,context_for_row_1,,
,,,,FALSE,MainMenuEmpty0,,
,Это текст 2,Это текст 2,,FALSE,context_for_row_2,,
,Вернуться в игру,Вернуться в игру,,FALSE,Continue",,
,Это текст 3,Это текст 3,,FALSE,context_for_row_3,,
,Сохранить и выйти,Сохранить и выйти,,FALSE,MainMenu,,
,Это текст 4,Это текст 4,,FALSE,context_for_row_4,,
,Это текст 5,Это текст 5,,FALSE,context_for_row_5,,
,Это текст 6,Это текст 6,,FALSE,context_for_row_6,,
,Это текст 7,Это текст 7,,FALSE,context_for_row_7,,
,Это текст 8,Это текст 8,,FALSE,context_for_row_8,,
,Это текст 9,Это текст 9,,FALSE,context_for_row_9,,
,Настройки,Настройки,,False,Settings,,
,,,,FALSE,MainMenuEmpty1,,
,Сохранить и выйти,Сохранить и выйти,,FALSE,MainMenuThree,,
,Это текст 10,Это текст 10,,FALSE,context_for_row_10,,
,Это текст 11,Это текст 11,,FALSE,context_for_row_11,,
,Это текст 12,Это текст 12,,FALSE,context_for_row_12,,
,Это текст 13,Это текст 13,,FALSE,context_for_row_13,,
,Сохранить и выйти,Сохранить и выйти,,FALSE,MainMenuTwo,,
,,,,FALSE,MainMenuEmpty2,,
,Это текст 14,Это текст 14,,FALSE,context_for_row_14,,
,Это текст 15,Это текст 15,,FALSE,context_for_row_15,,
,Это текст 16,Это текст 16,,FALSE,context_for_row_16,,
,Это текст 17,Это текст 17,,FALSE,context_for_row_17,,
,Это текст 18,Это текст 18,,FALSE,context_for_row_18,,
,Это текст 19,Это текст 19,,FALSE,context_for_row_19,,
,Это текст 20,Это текст 20,,FALSE,context_for_row_20,,
,Это текст 21,Это текст 21,,FALSE,context_for_row_21,,
,Это текст 22,Это текст 22,,FALSE,context_for_row_22,,
,Это текст 23,Это текст 23,,FALSE,context_for_row_23,,
,Это текст 24,Это текст 24,,FALSE,context_for_row_24,,
,Это текст 25,Это текст 25,,FALSE,context_for_row_25,,
,Это текст 26,Это текст 26,,FALSE,context_for_row_26,,
,Это текст 27,Это текст 27,,FALSE,context_for_row_27,,
,Это текст 28,Это текст 28,,FALSE,context_for_row_28,,
,Это текст 29,Это текст 29,,FALSE,context_for_row_29,,
,Это текст 30,Это текст 30,,FALSE,context_for_row_30,,
,Это текст 31,Это текст 31,,FALSE,context_for_row_31,,
,Это текст 32,Это текст 32,,FALSE,context_for_row_32,,
,Это текст 33,Это текст 33,,FALSE,context_for_row_33,,
,Это текст 34,Это текст 34,,FALSE,context_for_row_34,,
,Это текст 35,Это текст 35,,FALSE,context_for_row_35,,
,Это текст 36,Это текст 36,,FALSE,context_for_row_36,,
,Это текст 37,Это текст 37,,FALSE,context_for_row_37,,
,Это текст 38,Это текст 38,,FALSE,context_for_row_38,,
,Это текст 39,Это текст 39,,FALSE,context_for_row_39,,
,Это текст 40,Это текст 40,,FALSE,context_for_row_40,,
,Это текст 41,Это текст 41,,FALSE,context_for_row_41,,
,Это текст 42,Это текст 42,,FALSE,context_for_row_42,,
,Это текст 43,Это текст 43,,FALSE,context_for_row_43,,
,Это текст 44,Это текст 44,,FALSE,context_for_row_44,,
,Это текст 45,Это текст 45,,FALSE,context_for_row_45,,
,Это текст 46,Это текст 46,,FALSE,context_for_row_46,,
,Это текст 47,Это текст 47,,FALSE,context_for_row_47,,
,Это текст 48,Это текст 48,,FALSE,context_for_row_48,,
,Это текст 49,Это текст 49,,FALSE,context_for_row_49,,
,Это текст 50,Это текст 50,,FALSE,context_for_row_50,,
,Это текст 51,Это текст 51,,FALSE,context_for_row_51,,
,Это текст 52,Это текст 52,,FALSE,context_for_row_52,,
,Это текст 53,Это текст 53,,FALSE,context_for_row_53,,
,Это текст 54,Это текст 54,,FALSE,context_for_row_54,,
,Это текст 55,Это текст 55,,FALSE,context_for_row_55,,
,Это текст 56,Это текст 56,,FALSE,context_for_row_56,,
,Это текст 57,Это текст 57,,FALSE,context_for_row_57,,
,Это текст 58,Это текст 58,,FALSE,context_for_row_58,,
,Это текст 59,Это текст 59,,FALSE,context_for_row_59,,
,Это текст 60,Это текст 60,,FALSE,context_for_row_60,,
,Это текст 61,Это текст 61,,FALSE,context_for_row_61,,
,Это текст 62,Это текст 62,,FALSE,context_for_row_62,,
,Это текст 63,Это текст 63,,FALSE,context_for_row_63,,
,Это текст 64,Это текст 64,,FALSE,context_for_row_64,,
,Это текст 65,Это текст 65,,FALSE,context_for_row_65,,
,Это текст 66,Это текст 66,,FALSE,context_for_row_66,,
,Это текст 67,Это текст 67,,FALSE,context_for_row_67,,
,Это текст 68,Это текст 68,,FALSE,context_for_row_68,,
,Это текст 69,Это текст 69,,FALSE,context_for_row_69,,
,Это текст 70,Это текст 70,,FALSE,context_for_row_70,,
,Это текст 71,Это текст 71,,FALSE,context_for_row_71,,
,Это текст 72,Это текст 72,,FALSE,context_for_row_72,,
,Это текст 73,Это текст 73,,FALSE,context_for_row_73,,
,Это текст 74,Это текст 74,,FALSE,context_for_row_74,,
,Это текст 75,Это текст 75,,FALSE,context_for_row_75,,
,Это текст 76,Это текст 76,,FALSE,context_for_row_76,,
,Это текст 77,Это текст 77,,FALSE,context_for_row_77,,
,Это текст 78,Это текст 78,,FALSE,context_for_row_78,,
,Это текст 79,Это текст 79,,FALSE,context_for_row_79,,
,Это текст 80,Это текст 80,,FALSE,context_for_row_80,,
,Это текст 81,Это текст 81,,FALSE,context_for_row_81,,
,Это текст 82,Это текст 82,,FALSE,context_for_row_82,,
,Это текст 83,Это текст 83,,FALSE,context_for_row_83,,
,Это текст 84,Это текст 84,,FALSE,context_for_row_84,,
,Это текст 85,Это текст 85,,FALSE,context_for_row_85,,
,Это текст 86,Это текст 86,,FALSE,context_for_row_86,,
,Это текст 87,Это текст 87,,FALSE,context_for_row_87,,
,Это текст 88,Это текст 88,,FALSE,context_for_row_88,,
,Это текст 89,Это текст 89,,FALSE,context_for_row_89,,
,Это текст 90,Это текст 90,,FALSE,context_for_row_90,,
,Это текст 91,Это текст 91,,FALSE,context_for_row_91,,
,Это текст 92,Это текст 92,,FALSE,context_for_row_92,,
,Это текст 93,Это текст 93,,FALSE,context_for_row_93,,
,Это текст 94,Это текст 94,,FALSE,context_for_row_94,,
,Это текст 95,Это текст 95,,FALSE,context_for_row_95,,
,Это текст 96,Это текст 96,,FALSE,context_for_row_96,,
,Это текст 97,Это текст 97,,FALSE,context_for_row_97,,
,Это текст 98,Это текст 98,,FALSE,context_for_row_98,,
